time,x,y,z
0,-8,8,27
0.002,-7.683508382,7.966250523,26.73151873
0.004,-7.373984577,7.92929174,26.46998112
0.006,-7.071350036,7.889537629,26.21523996
0.008,-6.775519767,7.847376122,25.96714059
0.01,-6.48640307,7.803170448,25.72552267
0.012,-6.203904106,7.757260106,25.4902216
0.014,-5.927922351,7.709961734,25.26106963
0.016,-5.658353225,7.66157044,25.03789716
0.018,-5.395088748,7.612361104,24.82053425
0.02,-5.138017664,7.562588916,24.60881064
0.022,-4.887026104,7.512490759,24.40255715
0.024,-4.641997927,7.462286125,24.20160616
0.026,-4.40281511,7.412178124,24.00579227
0.028,-4.169358113,7.362354445,23.81495282
0.03,-3.941506177,7.312988239,23.6289283
0.032,-3.719137647,7.264239028,23.44756275
0.034,-3.50213025,7.216253538,23.27070404
0.036,-3.290361374,7.169166549,23.09820422
0.038,-3.083708245,7.123101563,22.92991953
0.04,-2.882048156,7.078171574,22.76571056
0.042,-2.685258742,7.034479839,22.60544267
0.044,-2.493218082,6.992120444,22.44898571
0.046,-2.305804902,6.951178973,22.2962143
0.048,-2.122898712,6.911733083,22.14700774
0.05,-1.944379944,6.873853058,22.00125005
0.052,-1.770130073,6.837602333,21.8588299
0.054,-1.60003173,6.803037987,21.71964063
0.056,-1.4339688,6.770211213,21.58358017
0.058,-1.271826505,6.739167739,21.45055092
0.06,-1.11349149,6.709948254,21.32045977
0.062,-0.958851881,6.682588771,21.19321793
0.064,-0.807797355,6.657121009,21.06874086
0.066,-0.66021918,6.633572703,20.94694818
0.068,-0.516010262,6.611967929,20.82776352
0.07,-0.375065192,6.592327407,20.71111448
0.072,-0.237280272,6.574668769,20.5969325
0.074,-0.102553528,6.559006801,20.48515268
0.076,0.029215258,6.545353692,20.37571375
0.078,0.158124534,6.533719259,20.26855792
0.08,0.284270976,6.524111141,20.16363077
0.082,0.407749475,6.516534997,20.06088113
0.084,0.528653135,6.510994688,19.960261
0.086,0.647073281,6.507492433,19.86172542
0.088,0.763099454,6.50602897,19.76523237
0.09,0.876819425,6.506603691,19.67074266
0.092,0.988319202,6.509214776,19.57821988
0.094,1.097683044,6.513859318,19.48763021
0.096,1.204993473,6.520533425,19.39894244
0.098,1.310331291,6.529232331,19.31212777
0.1,1.4137756,6.539950487,19.22715983
0.102,1.515403814,6.552681648,19.1440145
0.104,1.61529169,6.567418954,19.06266991
0.106,1.713513338,6.584154999,18.98310631
0.108,1.810141254,6.602881901,18.90530603
0.11,1.905246335,6.623591361,18.82925341
0.112,1.998897905,6.646274716,18.75493469
0.114,2.091163745,6.670922987,18.68233802
0.116,2.182110109,6.697526926,18.61145333
0.118,2.271801757,6.726077053,18.54227233
0.12,2.360301974,6.75656369,18.47478843
0.122,2.447672601,6.788976992,18.40899667
0.124,2.533974056,6.823306975,18.34489372
0.126,2.619265363,6.859543533,18.28247779
0.128,2.703604175,6.89767646,18.22174864
0.13,2.787046802,6.937695467,18.16270747
0.132,2.869648234,6.97959019,18.10535694
0.134,2.951462166,7.023350198,18.04970112
0.136,3.032541021,7.068965005,17.99574545
0.138,3.112935979,7.116424062,17.94349669
0.14,3.192696995,7.165716767,17.89296295
0.142,3.271872825,7.216832456,17.84415361
0.144,3.350511046,7.2697604,17.7970793
0.146,3.428658083,7.324489794,17.75175191
0.148,3.506359224,7.38100975,17.70818453
0.15,3.583658646,7.439309283,17.66639146
0.152,3.660599431,7.499377295,17.62638815
0.154,3.737223586,7.561202557,17.58819125
0.156,3.813572067,7.624773693,17.55181851
0.158,3.889684786,7.690079152,17.51728883
0.16,3.965600639,7.757107191,17.48462221
0.162,4.041357513,7.825845848,17.45383976
0.164,4.116992308,7.896282907,17.42496366
0.166,4.19254095,7.968405874,17.39801715
0.168,4.2680384,8.042201947,17.37302455
0.17,4.343518672,8.117657979,17.35001122
0.172,4.419014842,8.19476044,17.32900353
0.174,4.494559057,8.273495384,17.31002888
0.176,4.570182552,8.353848405,17.2931157
0.178,4.645915647,8.435804599,17.27829339
0.18,4.721787766,8.519348522,17.26559233
0.182,4.797827437,8.604464139,17.2550439
0.184,4.874062299,8.691134781,17.24668039
0.186,4.950519107,8.779343097,17.24053507
0.188,5.027223735,8.869071001,17.23664211
0.19,5.104201182,8.96029962,17.2350366
0.192,5.181475566,9.053009242,17.23575454
0.194,5.259070129,9.147179259,17.23883276
0.196,5.337007238,9.242788107,17.24430898
0.198,5.415308378,9.339813211,17.25222175
0.2,5.493994151,9.438230922,17.2626104
0.202,5.573084271,9.538016455,17.27551507
0.204,5.652597561,9.639143824,17.29097666
0.206,5.732551944,9.741585777,17.30903677
0.208,5.812964433,9.845313736,17.32973772
0.21,5.893851126,9.950297718,17.35312246
0.212,5.975227194,10.05650627,17.37923461
0.214,6.057106872,10.16390639,17.40811836
0.216,6.139503441,10.27246348,17.43981845
0.218,6.222429216,10.38214125,17.47438006
0.22,6.305895535,10.49290165,17.51184886
0.222,6.389912739,10.6047048,17.55227092
0.224,6.474490155,10.7175089,17.59569267
0.226,6.55963608,10.83127019,17.64216073
0.228,6.645357757,10.94594284,17.691722
0.23,6.731661361,11.06147888,17.74442348
0.232,6.818551967,11.17782813,17.8003123
0.234,6.90603354,11.29493812,17.85943554
0.236,6.994108901,11.41275404,17.92184015
0.238,7.082779706,11.53121864,17.98757293
